Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
F23B2.12,1517.794182,-4.815979504,0.776669733,4.00415E-11,3.25373E-09
R06A10.1,420.3215169,4.30643191,0.686952466,4.19958E-11,3.39899E-09
F22F4.1,619.1792824,-4.623385273,0.743057568,4.24599E-11,3.42297E-09
C06B8.2,178.8962422,-4.362569593,0.697607267,4.41388E-11,3.54431E-09
C16C4.4,110.6345919,-6.666771123,1.138912939,4.44923E-11,3.55868E-09
F55F3.2,371.1811792,-4.259928821,0.679966489,4.46799E-11,3.55973E-09
F41G3.17,156.1245747,4.706344797,0.76081571,4.90976E-11,3.89648E-09
F36D3.14,45.74037142,5.56708999,0.924605443,5.38643E-11,4.25821E-09
F17B5.1,312.5623241,-4.554183899,0.73571217,5.53699E-11,4.36033E-09
C47D12.5,275.9819467,3.477255702,0.554283839,5.73803E-11,4.50127E-09
T26C5.2,831.1112914,-5.935423991,0.999149695,5.83509E-11,4.55987E-09
C52E2.2,220.5103412,7.702878121,1.370518521,5.88303E-11,4.57978E-09
C02E7.6,31961.68105,-7.984893995,1.435122509,6.06997E-11,4.70734E-09
F41G3.10,864.7656753,-4.740040189,0.773429502,6.77851E-11,5.22453E-09
F55E10.6,335.6163787,-4.290668056,0.692697191,6.7881E-11,5.22453E-09
C08H9.6,353.4994988,5.75914559,0.969878152,7.19891E-11,5.51989E-09
C54A12.1,372.1958,-3.830447329,0.615010834,7.25211E-11,5.53985E-09
C33D3.3,78.53384017,-3.473590603,0.557690135,7.56919E-11,5.76049E-09
K02D3.2,85.09534127,-4.742551139,0.777509496,8.08239E-11,6.12819E-09
F07B7.8,66.70161284,4.160586981,0.674197645,8.62189E-11,6.51304E-09
F11C7.3,638.3679871,-5.394556561,0.903097123,8.7159E-11,6.55976E-09
H43E16.1,1094.491378,-4.67094848,0.766733466,9.09169E-11,6.81743E-09
F21H7.10,20.79506405,-6.558322665,1.141655073,9.46691E-11,7.07279E-09
M153.3,36.5800866,-6.2150296,1.070705331,9.64601E-11,7.18029E-09
F07H5.7,479.4333362,3.592047377,0.581299659,1.03093E-10,7.64614E-09
C02E7.7,11652.99965,-7.629658929,1.380325263,1.06467E-10,7.86772E-09
C14C6.5,1565.651611,-5.502406344,0.929510491,1.06901E-10,7.87081E-09
R13D7.7,614.4639645,3.95681876,0.642791252,1.0728E-10,7.87081E-09
F35E12.7,598.651864,-4.687149171,0.774540702,1.14648E-10,8.38125E-09
C07G3.10,173.688064,3.549271128,0.576292922,1.16862E-10,8.51257E-09
Y119D3B.19,111.2091805,-3.906805261,0.636044817,1.19237E-10,8.65469E-09
ZC449.1,139.8954016,-5.166333482,0.867439866,1.24468E-10,9.00228E-09
F42F12.8,799.6855796,-6.124129874,1.063151708,1.38064E-10,9.95038E-09
F36D1.5,345.2054922,5.974156767,1.032225223,1.38746E-10,9.96432E-09
F13B6.1,223.1829485,-4.379025991,0.723873784,1.53651E-10,1.09575E-08
Y39B6A.27,34.64866277,-6.0345479,1.047809149,1.53339E-10,1.09575E-08
F59C12.1,149.368206,-3.629207354,0.596050827,1.78233E-10,1.26663E-08
T08A9.12,657.0541401,-5.137265789,0.871042565,1.81833E-10,1.28773E-08
C18G1.6,29.9443601,-4.312614502,0.716578341,1.95658E-10,1.38084E-08
Y10G11A.2,400.0633823,3.665249707,0.603828358,1.987E-10,1.39748E-08
F09B12.3,4842.991843,-5.430030645,0.933146147,2.10644E-10,1.47639E-08
ZK896.6,314.018037,-4.921816761,0.833294525,2.16958E-10,1.51544E-08
W02H5.8,656.0446124,3.389963555,0.560482249,2.21001E-10,1.53841E-08
ZK484.2,2381.030627,-5.724294363,0.994891074,2.2307E-10,1.54753E-08
F39C12.2,423.198048,-1.989287269,0.342998112,2.24877E-10,1.55478E-08
F28D1.9,1123.838864,-4.091303576,0.679653551,2.26929E-10,1.56366E-08
W02B8.3,81.32262751,-5.843430775,1.021607754,2.38018E-10,1.63455E-08
F42F12.2,57.72994591,-4.494267548,0.754260015,2.40649E-10,1.64707E-08
F09C8.1,500.599712,-5.440765987,0.939288021,2.43412E-10,1.66041E-08
C49G7.3,3178.766434,-5.301101266,0.911268758,2.45253E-10,1.66739E-08
C29E4.8,2668.526975,-2.625920676,0.445500743,2.46854E-10,1.6727E-08
T20G5.8,772.366919,-2.863786352,0.481562483,2.58577E-10,1.74634E-08
R09A8.3,6928.848679,2.005655884,0.347875425,2.75291E-10,1.85308E-08
ZC455.10,322.5542843,-4.347986948,0.73008963,2.77378E-10,1.86098E-08
ZK1058.2,2691.570771,-2.266582897,0.392166744,2.88108E-10,1.92664E-08
F42F12.10,825.4480106,-6.078517111,1.077575131,2.8928E-10,1.92816E-08
F10A3.4,389.8968939,-5.851161961,1.03173793,3.1248E-10,2.07601E-08
B0403.4,8393.104934,-2.621950325,0.448141057,3.17199E-10,2.10052E-08
K12B6.4,21.41799832,-4.616088952,0.783579263,3.21769E-10,2.12388E-08
C47G2.1,8610.034605,7.891715444,1.499288698,3.36585E-10,2.20346E-08
M03B6.3,510.0447945,-5.254362883,0.910369076,3.37066E-10,2.20346E-08
R08C7.4,12.55503769,-3.551410307,0.593631595,3.36119E-10,2.20346E-08
C50H11.1,948.8606024,3.682407173,0.61652665,3.53459E-10,2.30325E-08
K01A2.1,136.4748156,-3.006237372,0.507881633,3.61549E-10,2.34845E-08
Y102A11A.6,36.16223351,-3.36885636,0.566034731,3.88102E-10,2.51293E-08
R03A10.2,1689.540409,3.153184219,0.531906791,3.93612E-10,2.54054E-08
F54D5.3,5743.440715,-3.824781786,0.643401886,4.03171E-10,2.59403E-08
K11D12.8,327.2419612,3.818512303,0.64283366,4.14831E-10,2.66066E-08
K12H4.7,7308.990083,-5.195896731,0.905385577,4.34512E-10,2.77815E-08
F19C7.4,124.9591996,-3.649740569,0.615297761,4.51945E-10,2.88059E-08
F07H5.9,321.8006447,-4.539544961,0.776770704,4.54872E-10,2.89021E-08
Y18D10A.22,35.6725853,-3.640430622,0.613965882,4.58439E-10,2.90383E-08
M02B1.1,303.611,-2.702056482,0.465418493,4.67501E-10,2.95206E-08
Y38E10A.10,111.9225471,2.690771816,0.463838186,4.71832E-10,2.97021E-08
ZK596.3,117.1760595,-4.037681072,0.684282462,4.74591E-10,2.97839E-08
T21B6.3,1744.475443,-5.044823209,0.877874406,4.87962E-10,3.05291E-08
F36G9.7,391.5682365,7.031856092,1.312331446,4.98466E-10,3.10909E-08
C13C12.2,270.3055687,-4.574776021,0.785763989,5.01276E-10,3.11708E-08
Y43F8B.5,210.3744112,5.046151269,0.881397754,5.51661E-10,3.41996E-08
D2024.7,550.0995228,3.100390603,0.529370087,5.69317E-10,3.50967E-08
T19C4.1,393.5114037,-4.737724439,0.820562605,5.69573E-10,3.50967E-08
