Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
F36H1.12,87.63649235,4.639676313,0.95187167,5.575E-09,3.77766E-07
ZC449.1,139.8954016,-4.50789007,0.922913335,5.81481E-09,3.92712E-07
C27H5.4,617.3417715,3.1819006,0.59900003,5.83686E-09,3.929E-07
Y62F5A.9,96.97786246,-2.208664367,0.39871537,6.20554E-09,4.16343E-07
K07C6.3,206.6445011,5.89909837,1.214337117,6.45172E-09,4.3144E-07
ZK863.2,31733.60785,8.824341938,1.763325177,6.56484E-09,4.3757E-07
F57B10.9,601.1610834,1.951678603,0.354532797,7.01467E-09,4.6603E-07
B0213.10,251.7998967,4.353506727,0.895363223,7.55124E-09,4.98626E-07
F36D1.5,345.2054922,5.403100899,1.127449763,7.5542E-09,4.98626E-07
C29E4.8,2668.526975,-2.345584751,0.427449939,7.78942E-09,5.12493E-07
ZK1290.12,1226.085417,-5.042948619,1.056158231,8.08596E-09,5.30294E-07
D2023.7,7715.035124,6.859424957,1.400696448,8.27401E-09,5.40887E-07
R09D1.12,266.1290113,4.733031649,0.990858498,8.77247E-09,5.7164E-07
F28A12.4,2445.332682,-3.566470576,0.703876603,9.4545E-09,6.14121E-07
C02E7.6,31961.68105,-7.25503415,1.481561743,9.52054E-09,6.16447E-07
K11G9.6,10764.90727,5.949144286,1.246527063,9.9899E-09,6.44791E-07
C29F5.8,813.5991887,7.806002329,1.59010973,1.01614E-08,6.51735E-07
K09E9.3,206.5263814,-1.393712045,0.265955998,1.01558E-08,6.51735E-07
F36F2.2,2907.296268,3.750205754,0.753645936,1.04831E-08,6.70259E-07
R13H8.1,8129.964632,1.903660408,0.351477348,1.08167E-08,6.89429E-07
ZK666.5,160.9608892,6.359975517,1.32717025,1.09044E-08,6.92857E-07
T21C9.7,80.03711978,3.447855932,0.677848635,1.09484E-08,6.93492E-07
C50C10.4,61.00070596,4.803022422,1.016415134,1.10431E-08,6.97323E-07
F48G7.4,483.1301523,4.018884206,0.827478767,1.2096E-08,7.61448E-07
F55G11.4,600.8010168,-4.547896663,0.961462074,1.2484E-08,7.83457E-07
C07D10.2,2544.649488,2.39868436,0.444833935,1.25276E-08,7.83782E-07
T07D10.2,244.1432247,3.517203484,0.699627153,1.28609E-08,8.02172E-07
Y102A11A.5,2088.051316,-5.281564667,1.129657629,1.32911E-08,8.26479E-07
F44E7.5,586.4093619,-3.044514579,0.584980157,1.35955E-08,8.42836E-07
ZK897.10,27.15253958,4.176130703,0.87324152,1.40881E-08,8.7073E-07
F46H5.6,781.8271168,5.831896885,1.247370253,1.52128E-08,9.37401E-07
K12G11.2,628.9933841,4.566107303,0.97551739,1.58206E-08,9.71919E-07
C18D4.12,263.1000825,4.455601403,0.949421231,1.62623E-08,9.96053E-07
C54F6.6,481.2713052,3.989386213,0.831958019,1.73406E-08,1.05892E-06
F40H3.1,2064.132975,2.669255387,0.506096759,1.75988E-08,1.07148E-06
F30B5.1,20694.77908,-5.857595084,1.261022922,1.77238E-08,1.07588E-06
C12C8.1,2561.069075,5.324796407,1.155746707,1.86333E-08,1.12773E-06
C54D10.2,279.2484329,5.624135242,1.219277434,1.92121E-08,1.15932E-06
K07A1.20,218.5116522,4.102250853,0.86549141,1.93369E-08,1.16341E-06
F39C12.2,423.198048,-1.754684125,0.333308475,1.9769E-08,1.17944E-06
Y41E3.2,20082.23029,-5.368356004,1.167894115,1.9714E-08,1.17944E-06
Y57G11C.30,49.38909056,3.92841317,0.820330396,1.97769E-08,1.17944E-06
C15A11.1,1821.132677,6.426456144,1.377588298,2.01903E-08,1.19871E-06
K07H8.12,561.8383891,3.594402498,0.732417088,2.02175E-08,1.19871E-06
T21C9.9,363.6534304,-4.452027906,0.959134858,2.10953E-08,1.24713E-06
ZK377.1,1599.255916,-4.393098422,0.945279549,2.16648E-08,1.2771E-06
D1044.1,262.6821581,2.864222932,0.553622722,2.20964E-08,1.29879E-06
T17A3.8,101.6650267,-2.202596618,0.415701613,2.2369E-08,1.31103E-06
Y57A10B.3,212.5044473,-2.543258384,0.485240425,2.43006E-08,1.42016E-06
Y34B4A.5,276.2663224,-3.366429991,0.678930647,2.49882E-08,1.45617E-06
R12A1.4,591.802372,-2.419501619,0.461240898,2.65881E-08,1.54499E-06
DH11.3,2225.235658,4.172010188,0.897026876,2.73958E-08,1.5874E-06
F07H5.7,479.4333362,2.956816443,0.579833437,2.75095E-08,1.58947E-06
ZK546.11,81.84222088,4.233708544,0.914146816,2.79371E-08,1.60962E-06
W10G11.3,248.0780666,4.605459998,1.009938657,2.80418E-08,1.6111E-06
T22H6.2,2258.20897,-3.649133142,0.757632084,2.86303E-08,1.64029E-06
Y57E12B.4,805.3154934,6.798415777,1.474147209,2.93338E-08,1.67589E-06
F22E5.21,66.91964648,2.601600015,0.50278272,3.20892E-08,1.82819E-06
K09H11.6,164.5698107,2.743653037,0.53583845,3.50362E-08,1.99052E-06
H35B03.1,1524.79851,2.690079457,0.524869778,3.68366E-08,2.087E-06
F32B5.6,4594.405165,2.136945538,0.410885463,3.69477E-08,2.08749E-06
C41G6.12,112.4723157,5.509495707,1.234403346,3.79295E-08,2.13704E-06
C31B8.2,104.0900709,3.715536636,0.786325827,3.95687E-08,2.22326E-06
F42F12.8,799.6855796,-5.150291765,1.158211482,4.01921E-08,2.25208E-06
F28D1.4,142.2219662,3.305013193,0.677115107,4.16769E-08,2.32888E-06
R09A8.3,6928.848679,1.741921063,0.340729856,4.18199E-08,2.33049E-06
T20G5.8,772.366919,-2.404138908,0.466262299,4.24182E-08,2.35739E-06
C40H1.5,2157.721873,3.532301249,0.740387122,4.51251E-08,2.50101E-06
K09E2.1,168.6937288,4.775294399,1.075426198,4.56028E-08,2.52064E-06
R02D3.6,129.0422755,5.084485374,1.150655343,4.62132E-08,2.54747E-06
W04H10.4,14.94663451,-4.048807137,0.885295276,4.74585E-08,2.60907E-06
Y105C5A.8,1615.232937,4.336455796,0.964301062,4.79854E-08,2.63094E-06
R09D1.2,139.7848232,5.443804688,1.236776724,5.00395E-08,2.73621E-06
C27A7.9,37.05319872,4.164797114,0.920288022,5.10306E-08,2.78294E-06
F11G11.12,22669.86702,-5.537202448,1.25894161,5.14623E-08,2.79156E-06
F26D12.1,5577.797019,2.800273441,0.557058975,5.14349E-08,2.79156E-06
F53F4.4,253.6749236,4.088771699,0.899903853,5.17877E-08,2.80175E-06
Y40C5A.3,1963.593283,5.779221713,1.311287802,5.19636E-08,2.80384E-06
F58G6.9,446.5066808,-3.186455648,0.652856529,5.2933E-08,2.84861E-06
R10E9.1,5398.694022,2.396335921,0.468744658,5.3165E-08,2.85356E-06
F55F3.2,371.1811792,-3.300943226,0.684028605,5.50784E-08,2.9485E-06
F58E10.7,4248.887551,2.956485269,0.59648677,5.6265E-08,3.00414E-06
ZK287.1,338.6209557,-1.808590395,0.357249619,5.88599E-08,3.13448E-06
C45G7.3,1473.875644,6.047414353,1.377235689,6.01914E-08,3.19704E-06
F42F12.10,825.4480106,-5.132264736,1.178093021,6.1549E-08,3.26066E-06
D2096.6,602.0984082,-3.942368535,0.866354084,6.22477E-08,3.28913E-06
H37A05.2,130.9833561,2.792524067,0.560071871,6.36947E-08,3.35689E-06
F07B7.14,90.5224112,4.598900136,1.047915355,6.44564E-08,3.38828E-06
F17B5.1,312.5623241,-3.544759644,0.7560539,6.55718E-08,3.43805E-06
T13B5.4,24337.71027,7.99624743,1.792496541,6.63095E-08,3.46782E-06
T26C5.2,831.1112914,-4.713904322,1.08126843,6.89824E-08,3.59837E-06
C08E8.10,1356.135062,4.288836662,0.968126047,6.95481E-08,3.61863E-06
B0462.4,200.0352624,3.637043786,0.785180756,7.18724E-08,3.73005E-06
F35F10.13,204.3595831,4.217515822,0.951664893,7.48406E-08,3.87423E-06
C54F6.5,1418.582551,6.255604219,1.437661943,7.60542E-08,3.91718E-06
K01A2.4,264.0257334,-3.3319313,0.702020422,7.59501E-08,3.91718E-06
F22F7.3,17.33277982,-3.63190478,0.78603768,7.6684E-08,3.93966E-06
T19D7.1,797.5641646,3.388976271,0.718539634,7.81081E-08,4.00274E-06
C04F12.8,934.5345276,2.518730331,0.502595383,7.91339E-08,4.03504E-06
F14D12.6,161.8174304,2.072391259,0.410776742,7.90164E-08,4.03504E-06
Y45F10D.6,357.553453,4.338260343,0.988027053,7.9467E-08,4.04192E-06
F54D5.15,258.5179239,-2.536947488,0.507310744,8.18975E-08,4.15518E-06
K01A2.2,1918.576849,3.1744361,0.662155783,8.24355E-08,4.1721E-06
C45H4.2,61.7984404,3.674350962,0.800889984,8.27033E-08,4.17529E-06
Y34F4.2,262.4975434,3.597423962,0.779122234,8.3136E-08,4.18677E-06
H14N18.4,3646.895729,2.969257696,0.610194776,8.54212E-08,4.29126E-06
W10G11.2,195.886968,4.74570961,1.101640024,8.6459E-08,4.33272E-06
T07G12.4,266.1687546,4.474436468,1.033804111,9.40529E-08,4.70172E-06
C08H9.14,114.453531,4.314364702,0.989915236,9.48755E-08,4.71971E-06
R53.7,2872.272977,1.690043166,0.342968183,9.47067E-08,4.71971E-06
Y38C9B.1,491.9924253,3.784483148,0.840210649,1.00629E-07,4.99376E-06
C33G8.13,74.25265978,5.934114422,1.392214757,1.02274E-07,5.06306E-06
B0399.2,98.70472163,-4.76343325,1.11692926,1.04639E-07,5.16762E-06
F32B6.2,2495.149963,-1.443902777,0.301041836,1.08439E-07,5.34231E-06
F35E12.7,598.651864,-3.633256397,0.799394072,1.0912E-07,5.36293E-06
F07G11.1,80.64218118,5.547430922,1.312261852,1.1115E-07,5.4235E-06
R07B1.13,425.6190786,-4.651600968,1.090567747,1.10893E-07,5.4235E-06
W08D2.6,633.977768,4.426266304,1.028873359,1.10652E-07,5.4235E-06
ZC13.10,68.42081542,2.976726945,0.619966114,1.14807E-07,5.58855E-06
Y48G8AL.12,8885.656658,-5.492723491,1.303085916,1.16688E-07,5.6666E-06
F38B2.6,290.474174,5.049214954,1.196795977,1.17203E-07,5.6781E-06
T28F2.8,17475.65427,8.009903842,1.861424542,1.19812E-07,5.79071E-06
